experiment,trial,top1,top5,batch_size,augmentation_level,freeze_backbone,fine_tune_from_layer,fc_hidden_size,dropout_rate,lr_multiplier_backbone,optimizer,lr,weight_decay,scheduler,step_size,gamma,factor,patience,momentum,warmup_epochs,eta_min,pct_start,div_factor
resnet152,0,0.8072607517242432,,64,minimal,False,layer3,135,0.4879639408647978,0.4115716865497775,adam,0.0004059611610484307,0.00011207606211860574,step,15.0,0.5,,,,,,,
resnet152,1,0.8380197882652283,,64,aggressive,False,none,297,0.14881529393791154,0.0689266113392399,adamw,0.0010568529720322872,0.004201672054372531,reduce_on_plateau,,,0.1,2.0,,,,,
resnet152,3,0.7864026427268982,,64,minimal,False,layer3,135,0.4879639408647978,0.4115716865497775,adam,0.0004059611610484307,0.00011207606211860574,step,15.0,0.5,,,,,,,
resnet152,4,0.8338614106178284,,64,aggressive,False,none,297,0.14881529393791154,0.0689266113392399,adamw,0.0010568529720322872,0.004201672054372531,reduce_on_plateau,,,0.1,2.0,,,,,
resnet152,6,0.7872607111930847,,64,minimal,False,layer3,135,0.4879639408647978,0.4115716865497775,adam,0.0004059611610484307,0.00011207606211860574,step,15.0,0.5,,,,,,,
resnet152,7,0.8348515033721924,,64,aggressive,False,none,297,0.14881529393791154,0.0689266113392399,adamw,0.0010568529720322872,0.004201672054372531,reduce_on_plateau,,,0.1,2.0,,,,,
resnet152,8,0.7693069577217102,,128,moderate,False,none,156,0.4947547746402069,0.29917712366085103,sgd,0.025924756604751596,0.000348771262454593,reduce_on_plateau,,,0.1,3.0,0.9385113619277876,,,,
resnet152,9,0.6528052687644958,,32,randaugment,False,layer4,137,0.1431565707973218,0.005905946429591528,adam,0.006533305220227739,3.151987295193886e-05,warmup_cosine,,,,,,5.0,1.8484491720988594e-06,,
resnet152,10,0.7933993339538574,,32,randaugment,False,layer3,292,0.42720590636899725,0.47811998212329687,adamw,0.0001390546848963277,0.0017367237151593164,warmup_cosine,,,,,,5.0,3.1883397351001856e-07,,
resnet152,11,0.5009241104125977,,32,moderate,False,layer4,183,0.2957811041110252,0.926789840692838,sgd,0.00298727419956384,5.439591236568524e-05,one_cycle,,,,,0.9383611062362534,,,0.1,25.0
