number,value,datetime_start,datetime_complete,duration,params_augmentation_level,params_batch_size,params_div_factor,params_dropout_rate,params_eta_min,params_factor,params_fc_hidden_size,params_fine_tune_from_layer,params_freeze_backbone,params_gamma,params_lr,params_lr_multiplier_backbone,params_momentum,params_optimizer,params_patience,params_pct_start,params_scheduler,params_step_size,params_warmup_epochs,params_weight_decay,state
0,,2026-04-27 12:43:44.890713,2026-04-27 12:52:58.797499,0 days 00:09:13.906786,minimal,64,,0.389468448256698,,,135,features.5,False,0.5,0.0004059611610484307,0.4115716865497775,,adam,,,step,15.0,,0.00011207606211860574,FAIL
1,0.7528052926063538,2026-05-06 15:12:39.149448,2026-05-06 15:57:30.933885,0 days 00:44:51.784437,minimal,64,,0.389468448256698,,,135,features.5,False,0.5,0.0004059611610484307,0.4115716865497775,,adam,,,step,15.0,,0.00011207606211860574,COMPLETE
2,0.867722749710083,2026-05-06 15:57:31.084333,2026-05-06 18:30:51.464899,0 days 02:33:20.380566,aggressive,64,,0.0927133821956726,,0.1,297,none,False,,0.0010568529720322872,0.0689266113392399,,adamw,2.0,,reduce_on_plateau,,,0.004201672054372531,COMPLETE
3,0.7786138653755188,2026-05-06 18:30:51.608365,2026-05-06 20:50:11.259731,0 days 02:19:19.651366,moderate,128,,0.3954104278101811,,0.1,156,none,False,,0.025924756604751596,0.29917712366085103,0.9385113619277876,sgd,3.0,,reduce_on_plateau,,,0.000348771262454593,COMPLETE
4,0.8058086037635803,2026-05-06 20:50:11.412030,2026-05-06 22:16:33.010335,0 days 01:26:21.598305,randaugment,32,,0.08776199944765656,1.8484491720988594e-06,,137,features.6,False,,0.006533305220227739,0.005905946429591528,,adam,,,warmup_cosine,,5.0,3.151987295193886e-05,COMPLETE
5,,2026-05-06 22:16:33.152324,2026-05-06 22:23:35.143715,0 days 00:07:01.991391,randaugment,32,,0.3363051680728726,3.1883397351001856e-07,,292,features.5,False,,0.0001390546848963277,0.47811998212329687,,adamw,,,warmup_cosine,,5.0,0.0017367237151593164,FAIL
6,0.7529373168945312,2026-05-06 22:24:17.561614,2026-05-06 23:05:16.895993,0 days 00:40:59.334379,minimal,64,,0.389468448256698,,,135,features.5,False,0.5,0.0004059611610484307,0.4115716865497775,,adam,,,step,15.0,,0.00011207606211860574,COMPLETE
7,0.8659405708312988,2026-05-06 23:05:17.063828,2026-05-07 01:38:56.517479,0 days 02:33:39.453651,aggressive,64,,0.0927133821956726,,0.1,297,none,False,,0.0010568529720322872,0.0689266113392399,,adamw,2.0,,reduce_on_plateau,,,0.004201672054372531,COMPLETE
8,0.7383498549461365,2026-05-07 01:38:56.644477,2026-05-07 02:08:56.877658,0 days 00:30:00.233181,moderate,128,,0.3954104278101811,,0.1,156,none,False,,0.025924756604751596,0.29917712366085103,0.9385113619277876,sgd,3.0,,reduce_on_plateau,,,0.000348771262454593,PRUNED
9,0.6667986512184143,2026-05-07 02:08:59.830323,2026-05-07 02:28:05.505396,0 days 00:19:05.675073,randaugment,32,,0.08776199944765656,1.8484491720988594e-06,,137,features.6,False,,0.006533305220227739,0.005905946429591528,,adam,,,warmup_cosine,,5.0,3.151987295193886e-05,PRUNED
