number,value,datetime_start,datetime_complete,duration,params_augmentation_level,params_batch_size,params_div_factor,params_dropout_rate,params_eta_min,params_factor,params_fc_hidden_size,params_fine_tune_from_layer,params_freeze_backbone,params_gamma,params_lr,params_lr_multiplier_backbone,params_momentum,params_optimizer,params_patience,params_pct_start,params_scheduler,params_step_size,params_weight_decay,state
0,0.7139273881912231,2026-04-21 15:41:09.188013,2026-04-21 16:25:39.135417,0 days 00:44:29.947404,minimal,64,50.0,0.4329770563201687,,,501,features.6,False,,0.007309539835912915,0.01,0.855333536637628,sgd,,0.1,one_cycle,,0.00016738085788752134,COMPLETE
1,0.6833663582801819,2026-04-21 16:25:39.263111,2026-04-21 17:08:03.492220,0 days 00:42:24.229109,minimal,128,,0.4637281608315128,1.5030900645056797e-07,,141,none,False,,0.0023426581058204046,0.1,0.9842210792752661,sgd,,,cosine,,0.0003550304858128307,COMPLETE
2,0.6522112488746643,2026-04-21 17:08:03.611661,2026-04-21 18:57:59.261276,0 days 01:49:55.649615,aggressive,128,50.0,0.4947547746402069,,,156,none,True,,0.0028708753481954683,0.01,,adam,,0.1,one_cycle,,0.000348771262454593,COMPLETE
3,,2026-04-21 18:57:59.388165,2026-04-22 07:06:56.138119,0 days 12:08:56.749954,aggressive,64,,0.1431565707973218,,0.1,137,features.6,False,,0.00315198729519389,0.1,0.8779727553767697,sgd,2.0,,reduce_on_plateau,,0.0003244160088734161,FAIL
4,0.716633677482605,2026-04-22 07:06:56.256640,2026-04-22 08:03:35.300607,0 days 00:56:39.043967,minimal,64,50.0,0.4329770563201687,,,501,features.6,False,,0.007309539835912915,0.01,0.855333536637628,sgd,,0.1,one_cycle,,0.00016738085788752134,COMPLETE
5,0.6783498525619507,2026-04-22 08:03:35.497982,2026-04-22 08:46:53.975273,0 days 00:43:18.477291,minimal,128,,0.4637281608315128,1.5030900645056797e-07,,141,none,False,,0.0023426581058204046,0.1,0.9842210792752661,sgd,,,cosine,,0.0003550304858128307,COMPLETE
6,0.6097029447555542,2026-04-22 08:46:54.105624,2026-04-22 09:20:34.847269,0 days 00:33:40.741645,aggressive,128,50.0,0.4947547746402069,,,156,none,True,,0.0028708753481954683,0.01,,adam,,0.1,one_cycle,,0.000348771262454593,PRUNED
7,0.24996699392795563,2026-04-22 09:20:34.979461,2026-04-22 09:38:27.069917,0 days 00:17:52.090456,aggressive,64,,0.1431565707973218,,0.1,137,features.6,False,,0.00315198729519389,0.1,0.8779727553767697,sgd,2.0,,reduce_on_plateau,,0.0003244160088734161,PRUNED
8,0.6860066056251526,2026-04-22 09:38:27.198393,2026-04-22 10:25:15.753690,0 days 00:46:48.555297,minimal,32,,0.2669644012595116,,,324,features.6,False,0.2,0.0010903884523201113,1.0,,adam,,,step,5.0,0.0002547052623339115,COMPLETE
9,0.13696369528770447,2026-04-22 10:25:15.907699,2026-04-22 10:42:42.666830,0 days 00:17:26.759131,aggressive,128,,0.2471132530877013,,,408,features.6,True,0.5,0.004380867619725789,0.1,0.8354385169759724,sgd,,,step,10.0,1.2065637774378933e-05,PRUNED
10,0.6899009943008423,2026-04-22 10:42:42.825506,2026-04-22 11:01:27.847174,0 days 00:18:45.021668,minimal,64,10.0,0.4588863031813307,,,163,features.4,False,,0.06226163482363463,0.01,0.9685464206103722,sgd,,0.1,one_cycle,,0.0003628700225554067,COMPLETE
11,0.6929373145103455,2026-04-22 11:01:27.986425,2026-04-22 12:46:34.807049,0 days 01:45:06.820624,moderate,32,,0.37274383114014253,,0.2,506,features.4,True,,0.00015629229179122423,1.0,,adam,3.0,,reduce_on_plateau,,5.743921379695772e-05,COMPLETE
12,0.7739933729171753,2026-04-22 12:46:34.962987,2026-04-22 13:27:58.681499,0 days 00:41:23.718512,minimal,64,50.0,0.36153500506092817,,,512,features.6,False,,0.018526081758759277,0.01,0.8105108980983262,sgd,,0.2,one_cycle,,9.819347379144985e-05,COMPLETE
13,0.7848184704780579,2026-04-22 13:27:58.853868,2026-04-22 15:10:11.710072,0 days 01:42:12.856204,moderate,64,25.0,0.354678371162756,,,430,features.6,False,,0.02457973461329927,0.01,0.8024966599863836,sgd,,0.2,one_cycle,,5.469152804684892e-05,COMPLETE
14,0.7949835062026978,2026-04-22 15:10:11.867187,2026-04-22 16:51:57.939643,0 days 01:41:46.072456,moderate,64,25.0,0.3511530487115114,,,419,features.6,False,,0.028068924481803176,0.01,0.8072121966869001,sgd,,0.2,one_cycle,,4.42806302303408e-05,COMPLETE
15,,2026-04-22 16:51:58.083845,2026-04-22 17:42:29.615610,0 days 00:50:31.531765,moderate,64,25.0,0.3280164761359849,,,406,features.6,False,,0.03153080672458147,0.01,0.8009439571254336,sgd,,0.2,one_cycle,,3.176356343291013e-05,FAIL
16,0.7999339699745178,2026-04-23 07:11:56.047964,2026-04-23 09:05:48.784902,0 days 01:53:52.736938,moderate,64,25.0,0.3381794613491898,,,405,features.6,False,,0.03085473344630506,0.01,0.8012879664630376,sgd,,0.2,one_cycle,,3.643526297879779e-05,COMPLETE
