number,value,datetime_start,datetime_complete,duration,params_augmentation_level,params_batch_size,params_div_factor,params_dropout_rate,params_eta_min,params_factor,params_fc_hidden_size,params_fine_tune_from_layer,params_freeze_backbone,params_gamma,params_lr,params_lr_multiplier_backbone,params_momentum,params_optimizer,params_patience,params_pct_start,params_scheduler,params_step_size,params_warmup_epochs,params_weight_decay,state
0,0.7951815128326416,2026-04-30 08:29:16.246387,2026-04-30 09:51:21.558221,0 days 01:22:05.311834,minimal,64,,0.4879639408647978,,,135,denseblock3,False,0.5,0.0004059611610484307,0.4115716865497775,,adam,,,step,15.0,,0.00011207606211860574,COMPLETE
1,0.8299009799957275,2026-04-30 09:51:21.684563,2026-04-30 12:16:39.089218,0 days 02:25:17.404655,aggressive,64,,0.14881529393791154,,0.1,297,none,False,,0.0010568529720322872,0.0689266113392399,,adamw,2.0,,reduce_on_plateau,,,0.004201672054372531,COMPLETE
2,0.8011881113052368,2026-04-30 12:16:39.216632,2026-04-30 14:28:48.386444,0 days 02:12:09.169812,moderate,128,,0.4947547746402069,,0.1,156,none,False,,0.025924756604751596,0.29917712366085103,0.9385113619277876,sgd,3.0,,reduce_on_plateau,,,0.000348771262454593,COMPLETE
3,0.7621122002601624,2026-04-30 14:28:48.513260,2026-04-30 16:11:02.537461,0 days 01:42:14.024201,randaugment,32,,0.1431565707973218,1.8484491720988594e-06,,137,denseblock4,False,,0.006533305220227739,0.005905946429591528,,adam,,,warmup_cosine,,5.0,3.151987295193886e-05,COMPLETE
4,0.823300302028656,2026-04-30 16:11:02.663633,2026-04-30 18:37:44.749628,0 days 02:26:42.085995,randaugment,32,,0.42720590636899725,3.1883397351001856e-07,,292,denseblock3,False,,0.0001390546848963277,0.47811998212329687,,adamw,,,warmup_cosine,,5.0,0.0017367237151593164,COMPLETE
5,0.583366334438324,2026-04-30 18:37:44.860456,2026-04-30 19:06:33.199120,0 days 00:28:48.338664,moderate,32,25.0,0.2957811041110252,,,183,denseblock4,False,,0.00298727419956384,0.926789840692838,0.9383611062362534,sgd,,0.1,one_cycle,,,5.439591236568524e-05,PRUNED
6,0.6617161631584167,2026-04-30 19:06:33.322275,2026-04-30 19:18:33.301663,0 days 00:11:59.979388,randaugment,128,,0.45093574135239245,,,484,denseblock4,False,0.1,0.0005731537801106999,0.019611076185240744,,adamw,,,step,15.0,,0.0030458224385894067,PRUNED
7,0.82481849193573,2026-04-30 19:18:33.419536,2026-04-30 20:49:34.689392,0 days 01:31:01.269856,randaugment,128,,0.3607845038010402,3.3916008494386095e-07,,394,none,False,,0.0031115931750282638,0.016406668852656958,,adam,,,cosine,,,0.00019918920492197507,COMPLETE
8,0.6424422264099121,2026-04-30 20:49:34.800970,2026-04-30 21:07:16.859994,0 days 00:17:42.059024,minimal,64,,0.21230894497634234,,0.1,406,denseblock3,False,,0.08088298191148205,0.005687504751255328,0.9738242341418852,sgd,2.0,,reduce_on_plateau,,,5.4994264803456034e-05,PRUNED
9,0.7145874500274658,2026-04-30 21:07:19.528604,2026-04-30 21:29:31.377474,0 days 00:22:11.848870,randaugment,64,,0.37880629639810726,,,413,none,False,0.5,0.04170871302599373,0.20673164150667198,0.9647437405302197,sgd,,,step,10.0,,0.0006706271090367463,PRUNED
10,0.815841555595398,2026-04-30 21:29:31.498615,2026-04-30 23:57:39.253072,0 days 02:28:07.754457,aggressive,64,,0.10594871528771761,,0.5,261,none,False,,0.0005620000511958316,0.07259148983360236,,adamw,2.0,,reduce_on_plateau,,,0.03691979171780843,PRUNED
11,,2026-04-30 23:57:39.360253,2026-05-01 06:34:56.801076,0 days 06:37:17.440823,aggressive,128,,0.32931639106049165,1.2504855205321396e-07,,366,none,False,,0.0019575500799074554,0.02878873519377647,,adam,,,cosine,,,1.5657424020089615e-05,FAIL
12,0.7568976879119873,2026-05-01 06:34:57.065268,2026-05-01 07:17:52.850845,0 days 00:42:55.785577,aggressive,128,,0.31447543547910384,1.1401357990728682e-07,,356,none,False,,0.001887745790142909,0.030918579860969398,,adam,,,cosine,,,1.5629229179122378e-05,PRUNED
13,0.7584158182144165,2026-05-01 07:17:57.900824,2026-05-01 07:48:31.425378,0 days 00:30:33.524554,aggressive,128,,0.2390685067924319,9.356384582496505e-06,,235,none,False,,0.0014242056919048845,0.08262906880792462,,adam,,,cosine,,,0.00017217578171367705,PRUNED
14,0.7421122193336487,2026-05-01 07:48:31.551160,2026-05-01 08:23:21.944951,0 days 00:34:50.393791,aggressive,128,,0.3508150217263567,7.028279335278071e-07,,352,none,False,,0.0010800931836306793,0.0210258951442756,,adamw,,,cosine,,,0.013450549446761013,PRUNED
15,0.40118810534477234,2026-05-01 08:23:22.058622,2026-05-01 08:51:08.635133,0 days 00:27:46.576511,randaugment,64,10.0,0.22137852035542321,,,496,none,False,,0.0035927186383067837,0.03867548608898807,,adam,,0.3,one_cycle,,,1.181613315175495e-05,PRUNED
16,0.5818482041358948,2026-05-01 08:51:08.758689,2026-05-01 09:22:12.197641,0 days 00:31:03.438952,aggressive,64,,0.1693724923519421,1.0608654519448874e-07,,422,none,False,,5.370203809578864e-05,0.011776486695596769,,adamw,,,cosine,,,0.0900602049993969,PRUNED
