number,value,datetime_start,datetime_complete,duration,params_augmentation_level,params_batch_size,params_div_factor,params_dropout_rate,params_eta_min,params_factor,params_fc_hidden_size,params_fine_tune_from_layer,params_freeze_backbone,params_gamma,params_lr,params_lr_multiplier_backbone,params_momentum,params_optimizer,params_patience,params_pct_start,params_scheduler,params_step_size,params_weight_decay,state
0,0.7095709443092346,2026-04-19 16:49:13.025263,2026-04-19 17:31:09.303355,0 days 00:41:56.278092,minimal,64,50.0,0.4329770563201687,,,501,features.6,False,,0.007309539835912915,0.01,0.855333536637628,sgd,,0.1,one_cycle,,0.00016738085788752134,COMPLETE
1,0.6790099143981934,2026-04-19 17:31:09.424756,2026-04-19 18:13:10.108993,0 days 00:42:00.684237,minimal,128,,0.4637281608315128,1.5030900645056797e-07,,141,none,False,,0.0023426581058204046,0.1,0.9842210792752661,sgd,,,cosine,,0.0003550304858128307,COMPLETE
2,0.506468653678894,2026-04-19 18:13:10.245016,2026-04-19 20:02:48.915503,0 days 01:49:38.670487,aggressive,128,50.0,0.4947547746402069,,,156,none,True,,0.0028708753481954683,0.01,,adam,,0.1,one_cycle,,0.000348771262454593,COMPLETE
3,,2026-04-19 20:02:49.057656,2026-04-19 20:10:58.499073,0 days 00:08:09.441417,aggressive,64,,0.1431565707973218,,0.1,137,features.6,False,,0.00315198729519389,0.1,0.8779727553767697,sgd,2.0,,reduce_on_plateau,,0.0003244160088734161,FAIL
4,0.7081187963485718,2026-04-20 06:37:47.515511,2026-04-20 07:32:46.981361,0 days 00:54:59.465850,minimal,64,50.0,0.4329770563201687,,,501,features.6,False,,0.007309539835912915,0.01,0.855333536637628,sgd,,0.1,one_cycle,,0.00016738085788752134,COMPLETE
5,0.6777557730674744,2026-04-20 07:32:47.177266,2026-04-20 08:14:36.652208,0 days 00:41:49.474942,minimal,128,,0.4637281608315128,1.5030900645056797e-07,,141,none,False,,0.0023426581058204046,0.1,0.9842210792752661,sgd,,,cosine,,0.0003550304858128307,COMPLETE
6,0.4172937273979187,2026-04-20 08:14:36.794931,2026-04-20 08:31:45.025647,0 days 00:17:08.230716,aggressive,128,50.0,0.4947547746402069,,,156,none,True,,0.0028708753481954683,0.01,,adam,,0.1,one_cycle,,0.000348771262454593,PRUNED
7,0.3050824999809265,2026-04-20 08:31:45.172773,2026-04-20 08:49:16.781886,0 days 00:17:31.609113,aggressive,64,,0.1431565707973218,,0.1,137,features.6,False,,0.00315198729519389,0.1,0.8779727553767697,sgd,2.0,,reduce_on_plateau,,0.0003244160088734161,PRUNED
8,,2026-04-20 08:49:16.947141,2026-04-20 09:35:17.976767,0 days 00:46:01.029626,minimal,32,,0.2669644012595116,,,324,features.6,False,0.2,0.0010903884523201113,1.0,,adam,,,step,5.0,0.0002547052623339115,FAIL
9,0.5099669694900513,2026-04-20 09:35:44.843734,2026-04-20 09:43:50.221675,0 days 00:08:05.377941,minimal,64,50.0,0.4329770563201687,,,501,features.6,False,,0.007309539835912915,0.01,0.855333536637628,sgd,,0.1,one_cycle,,0.00016738085788752134,PRUNED
10,0.6209241151809692,2026-04-20 09:43:52.840547,2026-04-20 10:00:38.466145,0 days 00:16:45.625598,minimal,128,,0.4637281608315128,1.5030900645056797e-07,,141,none,False,,0.0023426581058204046,0.1,0.9842210792752661,sgd,,,cosine,,0.0003550304858128307,PRUNED
11,,2026-04-20 10:00:38.614473,2026-04-20 10:07:46.915170,0 days 00:07:08.300697,aggressive,128,50.0,0.4947547746402069,,,156,none,True,,0.0028708753481954683,0.01,,adam,,0.1,one_cycle,,0.000348771262454593,FAIL
12,0.5615841746330261,2026-04-20 10:07:47.043340,2026-04-20 10:17:51.687788,0 days 00:10:04.644448,minimal,64,50.0,0.4329770563201687,,,501,features.6,False,,0.007309539835912915,0.01,0.855333536637628,sgd,,0.1,one_cycle,,0.00016738085788752134,PRUNED
13,0.4892409145832062,2026-04-20 10:17:54.367765,2026-04-20 10:36:58.837334,0 days 00:19:04.469569,moderate,32,,0.33008322672610907,,,389,features.5,True,0.1,0.0002611689560173501,1.0,,adam,,,step,10.0,2.9040476918499735e-05,PRUNED
14,0.7845544815063477,2026-04-20 10:36:58.959062,2026-04-20 12:17:58.448785,0 days 01:40:59.489723,moderate,64,10.0,0.34234320969289833,,,423,features.6,False,,0.03816555624863517,0.01,0.8105108980983262,sgd,,0.2,one_cycle,,5.090873160060645e-05,COMPLETE
15,0.774917483329773,2026-04-20 12:17:58.600627,2026-04-20 13:58:04.286153,0 days 01:40:05.685526,moderate,64,,0.33329086158653104,,0.2,406,features.6,False,,0.0948161381393047,1.0,0.8024966599863836,sgd,5.0,,reduce_on_plateau,,4.044758550598602e-05,COMPLETE
16,0.7799339890480042,2026-04-20 13:58:04.443880,2026-04-20 15:43:28.475230,0 days 01:45:24.031350,moderate,32,,0.3318264197864259,,0.2,391,features.5,False,,0.08826898977088293,1.0,0.8072121966869001,sgd,5.0,,reduce_on_plateau,,3.545741428806233e-05,COMPLETE
17,0.21419142186641693,2026-04-20 15:43:28.614747,2026-04-20 15:59:50.775167,0 days 00:16:22.160420,moderate,32,,0.24983895607963053,,0.5,299,features.5,True,,0.009840130733732237,1.0,,adam,5.0,,reduce_on_plateau,,1.0379304192007261e-05,PRUNED
