number,value,datetime_start,datetime_complete,duration,params_augmentation_level,params_batch_size,params_div_factor,params_dropout_rate,params_eta_min,params_factor,params_fc_hidden_size,params_fine_tune_from_layer,params_freeze_backbone,params_gamma,params_lr,params_lr_multiplier_backbone,params_momentum,params_optimizer,params_patience,params_pct_start,params_scheduler,params_step_size,params_warmup_epochs,params_weight_decay,state
0,0.8051485419273376,2026-05-03 11:29:46.449068,2026-05-03 12:15:39.256180,0 days 00:45:52.807112,minimal,64,,0.4879639408647978,,,135,features.5,False,0.5,0.0004059611610484307,0.4115716865497775,,adam,,,step,15.0,,0.00011207606211860574,COMPLETE
1,0.8525412678718567,2026-05-03 12:15:39.402807,2026-05-03 14:36:59.755140,0 days 02:21:20.352333,aggressive,64,,0.14881529393791154,,0.1,297,none,False,,0.0010568529720322872,0.0689266113392399,,adamw,2.0,,reduce_on_plateau,,,0.004201672054372531,COMPLETE
2,0.845148503780365,2026-05-03 14:36:59.912094,2026-05-03 16:42:31.315254,0 days 02:05:31.403160,moderate,128,,0.4947547746402069,,0.1,156,none,False,,0.025924756604751596,0.29917712366085103,0.9385113619277876,sgd,3.0,,reduce_on_plateau,,,0.000348771262454593,COMPLETE
3,0.8209900856018066,2026-05-03 16:42:31.432974,2026-05-03 18:44:51.450769,0 days 02:02:20.017795,randaugment,32,,0.1431565707973218,1.8484491720988594e-06,,137,features.6,False,,0.006533305220227739,0.005905946429591528,,adam,,,warmup_cosine,,5.0,3.151987295193886e-05,COMPLETE
4,0.8473267555236816,2026-05-03 18:44:51.565953,2026-05-03 21:08:28.596021,0 days 02:23:37.030068,randaugment,32,,0.42720590636899725,3.1883397351001856e-07,,292,features.5,False,,0.0001390546848963277,0.47811998212329687,,adamw,,,warmup_cosine,,5.0,0.0017367237151593164,COMPLETE
5,0.5504290461540222,2026-05-03 21:08:28.724345,2026-05-03 21:36:56.871023,0 days 00:28:28.146678,moderate,32,25.0,0.2957811041110252,,,183,features.6,False,,0.00298727419956384,0.926789840692838,0.9383611062362534,sgd,,0.1,one_cycle,,,5.439591236568524e-05,PRUNED
6,0.6988118886947632,2026-05-03 21:36:57.004565,2026-05-03 21:48:17.680665,0 days 00:11:20.676100,randaugment,128,,0.45093574135239245,,,484,features.6,False,0.1,0.0005731537801106999,0.019611076185240744,,adamw,,,step,15.0,,0.0030458224385894067,PRUNED
7,,2026-05-03 21:48:17.868080,2026-05-03 22:37:23.204102,0 days 00:49:05.336022,randaugment,128,,0.3607845038010402,3.3916008494386095e-07,,394,none,False,,0.0031115931750282638,0.016406668852656958,,adam,,,cosine,,,0.00019918920492197507,FAIL
8,0.7962376475334167,2026-05-04 07:28:28.456853,2026-05-04 08:04:00.448812,0 days 00:35:31.991959,minimal,64,,0.4879639408647978,,,135,features.5,False,0.5,0.0004059611610484307,0.4115716865497775,,adam,,,step,15.0,,0.00011207606211860574,PRUNED
9,0.851881206035614,2026-05-04 08:04:05.120162,2026-05-04 10:27:13.152419,0 days 02:23:08.032257,aggressive,64,,0.14881529393791154,,0.1,297,none,False,,0.0010568529720322872,0.0689266113392399,,adamw,2.0,,reduce_on_plateau,,,0.004201672054372531,COMPLETE
10,0.783366322517395,2026-05-04 10:27:13.296751,2026-05-04 10:54:11.013394,0 days 00:26:57.716643,moderate,128,,0.4947547746402069,,0.1,156,none,False,,0.025924756604751596,0.29917712366085103,0.9385113619277876,sgd,3.0,,reduce_on_plateau,,,0.000348771262454593,PRUNED
11,0.678415834903717,2026-05-04 10:54:11.169310,2026-05-04 11:23:33.574014,0 days 00:29:22.404704,aggressive,64,,0.23264700577903058,9.384607974855033e-06,,386,none,False,,6.985726403811528e-05,0.07259148983360236,,adamw,,,cosine,,,0.06294532478500534,PRUNED
12,0.8354455232620239,2026-05-04 11:23:33.777351,2026-05-04 13:00:29.370507,0 days 01:36:55.593156,aggressive,64,,0.10818572891898984,,0.1,280,none,False,,0.001162936027301688,0.07046835618240985,,adamw,2.0,,reduce_on_plateau,,,0.009605566343933083,PRUNED
13,0.8431023359298706,2026-05-04 13:00:32.541351,2026-05-04 14:48:45.167764,0 days 01:48:12.626413,aggressive,64,,0.19085560466035145,,0.5,349,none,False,,0.0010511419979597992,0.07624517665931521,,adamw,2.0,,reduce_on_plateau,,,0.0072692696376142904,PRUNED
14,0.839669942855835,2026-05-04 14:48:48.343818,2026-05-04 16:26:34.806560,0 days 01:37:46.462742,aggressive,64,,0.23473195591832197,,0.2,240,none,False,,0.001392861186007186,0.029395941171574413,,adamw,2.0,,reduce_on_plateau,,,0.02389525370602789,PRUNED
15,0.790099024772644,2026-05-04 16:26:37.900864,2026-05-04 16:56:09.230049,0 days 00:29:31.329185,aggressive,64,,0.3476565870970957,1.0399723603760972e-07,,411,none,False,,0.00021812987552234924,0.13037375017623157,,adamw,,,cosine,,,0.005084254697982145,PRUNED
16,0.5676567554473877,2026-05-04 16:56:11.878946,2026-05-04 17:27:07.309169,0 days 00:30:55.430223,aggressive,64,50.0,0.16808893601332237,,,236,none,False,,0.0023179763444665263,0.021576366575301834,,adamw,,0.3,one_cycle,,,0.016921960565350922,PRUNED
17,0.7919471859931946,2026-05-04 17:27:07.452139,2026-05-04 17:57:10.167693,0 days 00:30:02.715554,aggressive,64,,0.23375014166441832,,0.1,315,none,False,,0.0006615893899123587,0.034675690602715165,,adamw,5.0,,reduce_on_plateau,,,0.00376603319952342,PRUNED
18,0.8376897573471069,2026-05-04 17:57:12.835797,2026-05-04 19:34:32.243816,0 days 01:37:19.408019,aggressive,64,,0.10248735296142555,,0.1,244,none,False,,0.00026828935110720847,0.14278135997719335,,adamw,2.0,,reduce_on_plateau,,,0.017907500957445824,PRUNED
19,0.760066032409668,2026-05-04 19:34:34.897655,2026-05-04 20:02:23.964906,0 days 00:27:49.067251,minimal,32,,0.2936848439103915,,0.5,370,features.5,False,,0.002862157610256405,0.009106154890413252,,adam,2.0,,reduce_on_plateau,,,0.00043750093983020445,PRUNED
