number,value,datetime_start,datetime_complete,duration,params_augmentation_level,params_batch_size,params_div_factor,params_dropout_rate,params_eta_min,params_factor,params_fc_hidden_size,params_fine_tune_from_layer,params_freeze_backbone,params_gamma,params_lr,params_lr_multiplier_backbone,params_momentum,params_optimizer,params_patience,params_pct_start,params_scheduler,params_step_size,params_weight_decay,state
0,0.564026415348053,2026-04-20 15:59:54.661952,2026-04-20 16:40:20.855274,0 days 00:40:26.193322,minimal,64,50.0,0.4329770563201687,,,501,features.10,False,,0.007309539835912915,0.01,0.855333536637628,sgd,,0.1,one_cycle,,0.00016738085788752134,COMPLETE
1,0.5745874643325806,2026-04-20 16:40:21.013539,2026-04-20 17:20:16.607805,0 days 00:39:55.594266,minimal,128,,0.4637281608315128,1.5030900645056797e-07,,141,none,False,,0.0023426581058204046,0.1,0.9842210792752661,sgd,,,cosine,,0.0003550304858128307,COMPLETE
2,,2026-04-20 17:20:16.749913,2026-04-21 07:12:48.126674,0 days 13:52:31.376761,aggressive,128,50.0,0.4947547746402069,,,156,none,True,,0.0028708753481954683,0.01,,adam,,0.1,one_cycle,,0.000348771262454593,FAIL
3,0.5614521503448486,2026-04-21 07:12:48.325954,2026-04-21 08:06:49.478798,0 days 00:54:01.152844,minimal,64,50.0,0.4329770563201687,,,501,features.10,False,,0.007309539835912915,0.01,0.855333536637628,sgd,,0.1,one_cycle,,0.00016738085788752134,COMPLETE
4,0.5747854709625244,2026-04-21 08:06:49.654969,2026-04-21 08:47:52.106269,0 days 00:41:02.451300,minimal,128,,0.4637281608315128,1.5030900645056797e-07,,141,none,False,,0.0023426581058204046,0.1,0.9842210792752661,sgd,,,cosine,,0.0003550304858128307,COMPLETE
5,0.43432343006134033,2026-04-21 08:47:52.248604,2026-04-21 10:36:47.416993,0 days 01:48:55.168389,aggressive,128,50.0,0.4947547746402069,,,156,none,True,,0.0028708753481954683,0.01,,adam,,0.1,one_cycle,,0.000348771262454593,COMPLETE
6,0.24858085811138153,2026-04-21 10:36:47.543511,2026-04-21 10:54:03.640928,0 days 00:17:16.097417,aggressive,64,,0.1431565707973218,,0.1,137,features.10,False,,0.00315198729519389,0.1,0.8779727553767697,sgd,2.0,,reduce_on_plateau,,0.0003244160088734161,PRUNED
7,0.590825080871582,2026-04-21 10:54:03.760307,2026-04-21 11:36:32.401905,0 days 00:42:28.641598,minimal,32,,0.2669644012595116,,,324,features.10,False,0.2,0.0010903884523201113,1.0,,adam,,,step,5.0,0.0002547052623339115,COMPLETE
8,0.22831682860851288,2026-04-21 11:36:32.519354,2026-04-21 11:53:47.675094,0 days 00:17:15.155740,aggressive,128,,0.2471132530877013,,,408,features.10,True,0.5,0.004380867619725789,0.1,0.8354385169759724,sgd,,,step,10.0,1.2065637774378933e-05,PRUNED
9,0.5321452021598816,2026-04-21 11:53:47.799271,2026-04-21 12:15:59.357279,0 days 00:22:11.558008,minimal,64,10.0,0.4588863031813307,,,163,features.8,False,,0.06226163482363463,0.01,0.9685464206103722,sgd,,0.1,one_cycle,,0.0003628700225554067,PRUNED
10,0.426930695772171,2026-04-21 12:15:59.479545,2026-04-21 12:36:56.214124,0 days 00:20:56.734579,moderate,64,,0.137469907131237,2.4574572727813126e-07,,346,features.10,False,,0.0060826539606401225,0.01,,adam,,,cosine,,0.00018292676411745722,PRUNED
11,0.36528053879737854,2026-04-21 12:36:56.354671,2026-04-21 12:53:17.394400,0 days 00:16:21.039729,moderate,32,,0.31637756327021915,,,255,features.8,True,0.2,0.00015635267678053654,1.0,,adam,,,step,5.0,0.0009654400943128413,PRUNED
12,0.7169637084007263,2026-04-21 12:53:17.517205,2026-04-21 13:47:37.700082,0 days 00:54:20.182877,minimal,32,,0.3314289631065848,8.7646457517922e-06,,244,none,False,,0.0007074115448668555,1.0,,adam,,,cosine,,5.097497946906426e-05,COMPLETE
13,0.7141914367675781,2026-04-21 13:47:37.822208,2026-04-21 14:40:46.533180,0 days 00:53:08.710972,minimal,32,,0.32574800507322543,,,255,none,False,0.2,0.00047646202143213475,1.0,,adam,,,step,5.0,4.211820672276472e-05,COMPLETE
14,0.6909570693969727,2026-04-21 14:40:46.667164,2026-04-21 15:33:47.835003,0 days 00:53:01.167839,minimal,32,,0.3518161515540478,,0.5,249,none,False,,0.00024346596102797,1.0,,adam,5.0,,reduce_on_plateau,,3.7654648590342216e-05,COMPLETE
15,0.4032343327999115,2026-04-21 15:33:47.969878,2026-04-21 15:41:05.072560,0 days 00:07:17.102682,minimal,32,,0.36208743214795724,,,237,none,True,0.1,0.0004350830923508835,1.0,,adam,,,step,15.0,4.619746045861708e-05,PRUNED
