number,value,datetime_start,datetime_complete,duration,params_augmentation_level,params_batch_size,params_div_factor,params_dropout_rate,params_eta_min,params_factor,params_fc_hidden_size,params_fine_tune_from_layer,params_freeze_backbone,params_gamma,params_lr,params_lr_multiplier_backbone,params_momentum,params_optimizer,params_patience,params_pct_start,params_scheduler,params_step_size,params_warmup_epochs,params_weight_decay,state
0,0.8072607517242432,2026-04-27 12:53:13.070825,2026-04-27 14:28:01.332114,0 days 01:34:48.261289,minimal,64,,0.4879639408647978,,,135,layer3,False,0.5,0.0004059611610484307,0.4115716865497775,,adam,,,step,15.0,,0.00011207606211860574,COMPLETE
1,0.8380197882652283,2026-04-27 14:28:01.463858,2026-04-27 16:55:11.947336,0 days 02:27:10.483478,aggressive,64,,0.14881529393791154,,0.1,297,none,False,,0.0010568529720322872,0.0689266113392399,,adamw,2.0,,reduce_on_plateau,,,0.004201672054372531,COMPLETE
2,,2026-04-27 16:55:12.065986,2026-04-28 06:38:01.824166,0 days 13:42:49.758180,moderate,128,,0.4947547746402069,,0.1,156,none,False,,0.025924756604751596,0.29917712366085103,0.9385113619277876,sgd,3.0,,reduce_on_plateau,,,0.000348771262454593,FAIL
3,0.7864026427268982,2026-04-28 06:38:01.933193,2026-04-28 07:29:46.512945,0 days 00:51:44.579752,minimal,64,,0.4879639408647978,,,135,layer3,False,0.5,0.0004059611610484307,0.4115716865497775,,adam,,,step,15.0,,0.00011207606211860574,COMPLETE
4,0.8338614106178284,2026-04-28 07:29:46.635678,2026-04-28 09:49:48.624451,0 days 02:20:01.988773,aggressive,64,,0.14881529393791154,,0.1,297,none,False,,0.0010568529720322872,0.0689266113392399,,adamw,2.0,,reduce_on_plateau,,,0.004201672054372531,COMPLETE
5,,2026-04-28 09:49:48.746501,2026-04-28 11:23:55.528199,0 days 01:34:06.781698,moderate,128,,0.4947547746402069,,0.1,156,none,False,,0.025924756604751596,0.29917712366085103,0.9385113619277876,sgd,3.0,,reduce_on_plateau,,,0.000348771262454593,FAIL
6,0.7872607111930847,2026-04-28 11:38:02.223761,2026-04-28 12:29:36.561967,0 days 00:51:34.338206,minimal,64,,0.4879639408647978,,,135,layer3,False,0.5,0.0004059611610484307,0.4115716865497775,,adam,,,step,15.0,,0.00011207606211860574,COMPLETE
7,0.8348515033721924,2026-04-28 12:29:36.700435,2026-04-28 14:50:59.506652,0 days 02:21:22.806217,aggressive,64,,0.14881529393791154,,0.1,297,none,False,,0.0010568529720322872,0.0689266113392399,,adamw,2.0,,reduce_on_plateau,,,0.004201672054372531,COMPLETE
8,0.7693069577217102,2026-04-28 14:50:59.633170,2026-04-28 15:20:10.308450,0 days 00:29:10.675280,moderate,128,,0.4947547746402069,,0.1,156,none,False,,0.025924756604751596,0.29917712366085103,0.9385113619277876,sgd,3.0,,reduce_on_plateau,,,0.000348771262454593,PRUNED
9,0.6528052687644958,2026-04-28 15:20:12.977693,2026-04-28 15:37:56.011620,0 days 00:17:43.033927,randaugment,32,,0.1431565707973218,1.8484491720988594e-06,,137,layer4,False,,0.006533305220227739,0.005905946429591528,,adam,,,warmup_cosine,,5.0,3.151987295193886e-05,PRUNED
10,0.7933993339538574,2026-04-28 15:37:56.130081,2026-04-28 16:06:24.616744,0 days 00:28:28.486663,randaugment,32,,0.42720590636899725,3.1883397351001856e-07,,292,layer3,False,,0.0001390546848963277,0.47811998212329687,,adamw,,,warmup_cosine,,5.0,0.0017367237151593164,PRUNED
11,0.5009241104125977,2026-04-28 16:06:27.288811,2026-04-28 16:34:33.741916,0 days 00:28:06.453105,moderate,32,25.0,0.2957811041110252,,,183,layer4,False,,0.00298727419956384,0.926789840692838,0.9383611062362534,sgd,,0.1,one_cycle,,,5.439591236568524e-05,PRUNED
12,0.606204628944397,2026-04-28 16:34:33.883660,2026-04-28 17:04:40.383161,0 days 00:30:06.499501,aggressive,128,,0.24907353484081193,9.384607974855033e-06,,486,none,False,,6.985726403811528e-05,0.024579818846854087,,adamw,,,cosine,,,0.07832921114568382,PRUNED
13,0.8344554305076599,2026-04-28 17:04:43.131771,2026-04-28 19:29:16.434316,0 days 02:24:33.302545,aggressive,64,,0.21438541544011985,,0.1,388,none,False,,0.001162936027301688,0.07342199603797334,,adamw,2.0,,reduce_on_plateau,,,0.010872222491939438,COMPLETE
14,,2026-04-28 19:29:16.584634,2026-04-29 06:46:53.276500,0 days 11:17:36.691866,aggressive,64,,0.1074876920796208,,0.5,238,none,False,,0.0010511419979597992,0.07624517665931521,,adamw,5.0,,reduce_on_plateau,,,0.0072692696376142904,FAIL
15,,2026-04-29 06:46:53.408088,2026-04-29 07:16:43.491107,0 days 00:29:50.083019,aggressive,64,,0.10466575695493044,,0.2,242,none,False,,0.0010542508215357156,0.07919372866709093,,adamw,5.0,,reduce_on_plateau,,,0.007821782789200876,FAIL
16,0.8173597455024719,2026-04-29 07:52:32.961739,2026-04-29 08:49:52.853781,0 days 00:57:19.892042,aggressive,64,,0.10466575695493044,,0.2,242,none,False,,0.0010542508215357156,0.07919372866709093,,adamw,5.0,,reduce_on_plateau,,,0.007821782789200876,PRUNED
