number,value,datetime_start,datetime_complete,duration,params_augmentation_level,params_batch_size,params_div_factor,params_dropout_rate,params_eta_min,params_factor,params_fc_hidden_size,params_fine_tune_from_layer,params_freeze_backbone,params_gamma,params_lr,params_lr_multiplier_backbone,params_momentum,params_optimizer,params_patience,params_pct_start,params_scheduler,params_step_size,params_weight_decay,state
0,,2026-04-17 16:24:16.899395,2026-04-17 16:31:15.306516,0 days 00:06:58.407121,minimal,64,50.0,0.4329770563201687,,,501,layer4,False,,0.007309539835912915,0.01,0.855333536637628,sgd,,0.1,one_cycle,,0.00016738085788752134,FAIL
1,0.7246864438056946,2026-04-17 16:31:40.840463,2026-04-17 17:13:19.337410,0 days 00:41:38.496947,minimal,64,50.0,0.4329770563201687,,,501,layer4,False,,0.007309539835912915,0.01,0.855333536637628,sgd,,0.1,one_cycle,,0.00016738085788752134,COMPLETE
2,,2026-04-17 17:13:19.496537,2026-04-17 17:14:29.339010,0 days 00:01:09.842473,minimal,128,,0.4637281608315128,1.5030900645056797e-07,,141,none,False,,0.0023426581058204046,0.1,0.9842210792752661,sgd,,,cosine,,0.0003550304858128307,FAIL
3,,2026-04-18 07:07:10.858222,2026-04-18 07:10:11.842339,0 days 00:03:00.984117,minimal,64,50.0,0.4329770563201687,,,501,layer4,False,,0.007309539835912915,0.01,0.855333536637628,sgd,,0.1,one_cycle,,0.00016738085788752134,FAIL
4,0.7244884371757507,2026-04-18 07:10:51.649941,2026-04-18 08:05:26.200053,0 days 00:54:34.550112,minimal,64,50.0,0.4329770563201687,,,501,layer4,False,,0.007309539835912915,0.01,0.855333536637628,sgd,,0.1,one_cycle,,0.00016738085788752134,COMPLETE
5,0.6941254138946533,2026-04-18 08:05:26.326281,2026-04-18 08:49:16.573129,0 days 00:43:50.246848,minimal,128,,0.4637281608315128,1.5030900645056797e-07,,141,none,False,,0.0023426581058204046,0.1,0.9842210792752661,sgd,,,cosine,,0.0003550304858128307,COMPLETE
6,0.5539274215698242,2026-04-18 08:49:16.694144,2026-04-18 10:38:56.919977,0 days 01:49:40.225833,aggressive,128,50.0,0.4947547746402069,,,156,none,True,,0.0028708753481954683,0.01,,adam,,0.1,one_cycle,,0.000348771262454593,COMPLETE
7,,2026-04-18 10:38:57.044303,2026-04-18 10:46:43.033333,0 days 00:07:45.989030,aggressive,64,,0.1431565707973218,,0.1,137,layer4,False,,0.00315198729519389,0.1,0.8779727553767697,sgd,2.0,,reduce_on_plateau,,0.0003244160088734161,FAIL
8,0.7248184680938721,2026-04-19 08:26:05.651369,2026-04-19 09:21:36.207731,0 days 00:55:30.556362,minimal,64,50.0,0.4329770563201687,,,501,layer4,False,,0.007309539835912915,0.01,0.855333536637628,sgd,,0.1,one_cycle,,0.00016738085788752134,COMPLETE
9,0.5731353163719177,2026-04-19 09:21:36.323440,2026-04-19 09:32:35.568588,0 days 00:10:59.245148,minimal,128,,0.4637281608315128,1.5030900645056797e-07,,141,none,False,,0.0023426581058204046,0.1,0.9842210792752661,sgd,,,cosine,,0.0003550304858128307,PRUNED
10,0.45689767599105835,2026-04-19 09:32:35.682580,2026-04-19 09:52:58.151018,0 days 00:20:22.468438,aggressive,128,50.0,0.4947547746402069,,,156,none,True,,0.0028708753481954683,0.01,,adam,,0.1,one_cycle,,0.000348771262454593,PRUNED
11,0.28910890221595764,2026-04-19 09:52:58.261611,2026-04-19 10:10:49.012395,0 days 00:17:50.750784,aggressive,64,,0.1431565707973218,,0.1,137,layer4,False,,0.00315198729519389,0.1,0.8779727553767697,sgd,2.0,,reduce_on_plateau,,0.0003244160088734161,PRUNED
12,0.7700989842414856,2026-04-19 10:10:49.112143,2026-04-19 10:54:09.865043,0 days 00:43:20.752900,minimal,32,,0.2669644012595116,,,324,layer4,False,0.2,0.0010903884523201113,1.0,,adam,,,step,5.0,0.0002547052623339115,COMPLETE
13,0.23874586820602417,2026-04-19 10:54:09.992543,2026-04-19 11:11:36.331652,0 days 00:17:26.339109,aggressive,128,,0.2471132530877013,,,408,layer4,True,0.5,0.004380867619725789,0.1,0.8354385169759724,sgd,,,step,10.0,1.2065637774378933e-05,PRUNED
14,0.49854785203933716,2026-04-19 11:11:36.417108,2026-04-19 11:28:07.407865,0 days 00:16:30.990757,moderate,32,,0.31637756327021915,,,271,layer3,True,0.2,0.00027317841724547657,1.0,,adam,,,step,5.0,0.0009654400943128413,PRUNED
15,0.794257402420044,2026-04-19 11:28:07.495074,2026-04-19 12:10:57.842820,0 days 00:42:50.347746,minimal,32,,0.3394302055560662,,,330,layer4,False,0.2,0.0005971580244407478,1.0,,adam,,,step,15.0,3.9766968673203395e-05,COMPLETE
16,0.8099009990692139,2026-04-19 12:10:57.954985,2026-04-19 13:55:40.947995,0 days 01:44:42.993010,moderate,32,,0.3076142913809332,,,307,layer3,False,0.2,0.0006153349987115026,1.0,,adam,,,step,15.0,2.805094210329636e-05,COMPLETE
17,0.8227062821388245,2026-04-19 13:55:41.066675,2026-04-19 15:40:18.237728,0 days 01:44:37.171053,moderate,32,,0.3163457162978968,,,285,layer3,False,0.1,0.00029556666630541734,1.0,,adam,,,step,15.0,3.2893412124434526e-05,COMPLETE
18,0.7971616983413696,2026-04-19 15:40:18.350843,2026-04-19 16:49:11.251423,0 days 01:08:52.900580,moderate,32,,0.369308716305864,,,247,layer3,False,0.1,0.00010054717138905071,1.0,,adam,,,step,15.0,3.654504652863493e-05,COMPLETE
