number,value,datetime_start,datetime_complete,duration,params_augmentation_level,params_batch_size,params_div_factor,params_dropout_rate,params_eta_min,params_factor,params_fc_size,params_filter_growth,params_gamma,params_kernel_size,params_lr,params_momentum,params_n_filters_start,params_n_layers,params_optimizer,params_patience,params_pct_start,params_scheduler,params_step_size,params_weight_decay,state
0,0.1666666716337204,2026-04-14 12:28:44.290820,2026-04-14 13:57:13.134452,0 days 01:28:28.843632,minimal,64,,0.4329770563201687,,,419,2,0.5,5,0.0040596116104843075,0.8997037220101252,116,3,sgd,,,step,15.0,7.309539835912905e-05,COMPLETE
1,0.5619801878929138,2026-04-14 13:57:13.308200,2026-04-14 15:49:44.915579,0 days 01:52:31.607379,aggressive,64,25.0,0.29807076404450805,,,282,2,,3,0.0021137059440645744,,61,6,adam,,0.2,one_cycle,,4.201672054372529e-05,COMPLETE
2,0.11650165170431137,2026-04-14 15:49:45.040217,2026-04-14 17:40:36.647915,0 days 01:50:51.607698,aggressive,128,,0.4947547746402069,,,849,1,0.1,3,0.004274869455295219,,59,4,adam,,,step,10.0,0.0002592475660475158,COMPLETE
3,0.3595379590988159,2026-04-14 17:40:36.759131,2026-04-14 19:11:05.473296,0 days 01:30:28.714165,minimal,64,,0.27101640734341986,,,275,2,0.5,5,0.0018742210985555703,,105,5,adam,,,step,5.0,4.253162363790868e-05,COMPLETE
4,,2026-04-14 19:11:05.585886,2026-04-15 07:22:33.320476,0 days 12:11:27.734590,aggressive,128,25.0,0.27084311545050255,,,885,1,,5,0.001050738402418141,,110,5,adam,,0.3,one_cycle,,6.83631406502272e-05,FAIL
5,0.16561056673526764,2026-04-15 07:22:33.430020,2026-04-15 08:56:55.882328,0 days 01:34:22.452308,minimal,64,,0.4329770563201687,,,419,2,0.5,5,0.0040596116104843075,0.8997037220101252,116,3,sgd,,,step,15.0,7.309539835912905e-05,COMPLETE
6,0.06310231238603592,2026-04-15 08:56:56.007123,2026-04-15 09:17:12.834590,0 days 00:20:16.827467,aggressive,64,25.0,0.29807076404450805,,,282,2,,3,0.0021137059440645744,,61,6,adam,,0.2,one_cycle,,4.201672054372529e-05,PRUNED
7,0.03234323486685753,2026-04-15 09:17:12.948552,2026-04-15 09:34:50.459832,0 days 00:17:37.511280,aggressive,128,,0.4947547746402069,,,849,1,0.1,3,0.004274869455295219,,59,4,adam,,,step,10.0,0.0002592475660475158,PRUNED
8,0.037293728440999985,2026-04-15 09:34:50.570075,2026-04-15 09:50:25.731987,0 days 00:15:35.161912,minimal,64,,0.27101640734341986,,,275,2,0.5,5,0.0018742210985555703,,105,5,adam,,,step,5.0,4.253162363790868e-05,PRUNED
9,0.0801980197429657,2026-04-15 09:50:25.835047,2026-04-15 10:08:38.919873,0 days 00:18:13.084826,aggressive,128,25.0,0.27084311545050255,,,885,1,,5,0.001050738402418141,,110,5,adam,,0.3,one_cycle,,6.83631406502272e-05,PRUNED
10,0.06778877973556519,2026-04-15 10:08:39.023061,2026-04-15 10:26:34.402346,0 days 00:17:55.379285,aggressive,64,,0.2957811041110252,,0.2,1013,2,,3,0.03336101309469785,0.845151133358556,36,5,sgd,5.0,,reduce_on_plateau,,0.0002860439042982458,PRUNED
11,0.4293729364871979,2026-04-15 10:26:34.497341,2026-04-15 12:10:45.051091,0 days 01:44:10.553750,moderate,32,,0.13350475556801777,3.6513116479148507e-06,,557,1,,3,0.01869134482021106,0.9873795328691004,85,6,sgd,,,cosine,,1.0707895335254486e-05,COMPLETE
12,0.42429041862487793,2026-04-15 12:10:45.161194,2026-04-15 13:54:50.609481,0 days 01:44:05.448287,moderate,32,,0.13894406258035813,4.322362129373018e-06,,566,1,,3,0.021704108883648574,0.9864679747749795,84,6,sgd,,,cosine,,1.1672711987380448e-05,COMPLETE
13,0.009966996498405933,2026-04-15 13:54:50.736602,2026-04-15 14:11:39.618138,0 days 00:16:48.881536,moderate,32,,0.14563268118274145,3.791148224600285e-07,,610,1,,3,0.0852463694895217,0.9882600243480082,83,6,sgd,,,cosine,,1.0093634969495784e-05,PRUNED
14,0.16838283836841583,2026-04-15 14:11:39.722982,2026-04-15 14:54:10.963839,0 days 00:42:31.240857,moderate,32,,0.20970773150654126,6.9803639269448855e-06,,478,1,,3,0.012441644036672386,0.9416835417068131,73,6,sgd,,,cosine,,0.0009006020499939699,PRUNED
15,,2026-04-15 14:54:11.337338,2026-04-15 15:49:04.917924,0 days 00:54:53.580586,moderate,32,50.0,0.36661425572308753,,,717,2,,3,0.00011152977421811848,,35,6,adam,,0.2,one_cycle,,1.911470266022731e-05,FAIL
16,,2026-04-15 15:49:23.898077,2026-04-15 16:15:25.293456,0 days 00:26:01.395379,moderate,32,50.0,0.3698760701487012,,,707,2,,3,0.00017828136233907443,,36,6,adam,,0.1,one_cycle,,2.1906337752612374e-05,FAIL
