number,value,datetime_start,datetime_complete,duration,params_augmentation_level,params_batch_size,params_div_factor,params_dropout_rate,params_eta_min,params_factor,params_fc_hidden_size,params_fine_tune_from_layer,params_freeze_backbone,params_gamma,params_lr,params_lr_multiplier_backbone,params_momentum,params_optimizer,params_patience,params_pct_start,params_scheduler,params_step_size,params_warmup_epochs,params_weight_decay,state
0,0.7458086013793945,2026-05-08 17:13:27.676177,2026-05-08 18:04:59.396500,0 days 00:51:31.720323,minimal,64,,0.29097295564859826,,,135,features.5,False,0.5,0.0004059611610484307,0.4115716865497775,,adam,,,step,15.0,,0.00011207606211860574,COMPLETE
1,0.8739274144172668,2026-05-08 18:04:59.586401,2026-05-08 20:46:21.062619,0 days 02:41:21.476218,aggressive,64,,0.036611470453433645,,0.1,297,none,False,,0.0010568529720322872,0.0689266113392399,,adamw,2.0,,reduce_on_plateau,,,0.004201672054372531,COMPLETE
2,0.8227062821388245,2026-05-08 20:46:21.239405,2026-05-08 23:10:57.226231,0 days 02:24:35.986826,moderate,128,,0.2960660809801552,,0.1,156,none,False,,0.025924756604751596,0.29917712366085103,0.9385113619277876,sgd,3.0,,reduce_on_plateau,,,0.000348771262454593,COMPLETE
3,0.7918812036514282,2026-05-08 23:10:57.400980,2026-05-09 00:59:20.021138,0 days 01:48:22.620158,randaugment,32,,0.032367428097991334,1.8484491720988594e-06,,137,features.6,False,,0.006533305220227739,0.005905946429591528,,adam,,,warmup_cosine,,5.0,3.151987295193886e-05,COMPLETE
4,0.8825742602348328,2026-05-09 00:59:20.178723,2026-05-09 04:08:38.910074,0 days 03:09:18.731351,randaugment,32,,0.24540442977674792,3.1883397351001856e-07,,292,features.5,False,,0.0001390546848963277,0.47811998212329687,,adamw,,,warmup_cosine,,5.0,0.0017367237151593164,COMPLETE
5,0.5829703211784363,2026-05-09 04:08:39.100604,2026-05-09 04:39:32.710842,0 days 00:30:53.610238,moderate,32,25.0,0.1468358280832689,,,183,features.6,False,,0.00298727419956384,0.926789840692838,0.9383611062362534,sgd,,0.1,one_cycle,,,5.439591236568524e-05,PRUNED
6,0.7255445718765259,2026-05-09 04:39:32.887792,2026-05-09 04:54:20.263249,0 days 00:14:47.375457,randaugment,128,,0.26320180601429427,,,484,features.6,False,0.1,0.0005731537801106999,0.019611076185240744,,adamw,,,step,15.0,,0.0030458224385894067,PRUNED
7,0.7758415937423706,2026-05-09 04:54:20.435738,2026-05-09 05:31:55.187478,0 days 00:37:34.751740,randaugment,128,,0.19558837785078015,3.3916008494386095e-07,,394,none,False,,0.0031115931750282638,0.016406668852656958,,adam,,,cosine,,,0.00019918920492197507,PRUNED
8,0.8048844933509827,2026-05-09 05:31:55.360187,2026-05-09 06:23:19.477893,0 days 00:51:24.117706,minimal,64,,0.08423170873225673,,0.1,406,features.5,False,,0.08088298191148205,0.005687504751255328,0.9738242341418852,sgd,2.0,,reduce_on_plateau,,,5.4994264803456034e-05,PRUNED
9,0.4483168423175812,2026-05-09 06:23:22.274245,2026-05-09 06:52:06.853546,0 days 00:28:44.579301,randaugment,64,,0.20910472229858038,,,413,none,False,0.5,0.04170871302599373,0.20673164150667198,0.9647437405302197,sgd,,,step,10.0,,0.0006706271090367463,PRUNED
10,0.6044224500656128,2026-05-09 06:52:07.021792,2026-05-09 07:35:10.763845,0 days 00:43:03.742053,aggressive,32,,0.22165395625003903,1.0575991259439022e-07,,261,features.5,False,,5.4221871396973596e-05,0.08784118037442286,,adamw,,,warmup_cosine,,10.0,0.07832921114568382,PRUNED
11,0.7553795576095581,2026-05-09 07:35:10.931848,2026-05-09 08:08:13.856494,0 days 00:33:02.924646,aggressive,64,,0.0033278837259901745,5.541681730529237e-06,,273,features.5,False,,0.00013418787502376319,0.06330234155654293,,adamw,,,warmup_cosine,,3.0,0.004244802421295148,PRUNED
12,0.8680527806282043,2026-05-09 08:08:14.046173,2026-05-09 12:09:01.376724,0 days 04:00:47.330551,aggressive,32,,0.12212723165673693,,0.2,319,none,False,,0.000371133159983321,0.07654774013926176,,adamw,2.0,,reduce_on_plateau,,,0.003340675678633707,COMPLETE
