number,value,datetime_start,datetime_complete,duration,params_augmentation_level,params_batch_size,params_div_factor,params_dropout_rate,params_eta_min,params_factor,params_fc_hidden_size,params_fine_tune_from_layer,params_freeze_backbone,params_gamma,params_lr,params_lr_multiplier_backbone,params_momentum,params_optimizer,params_patience,params_pct_start,params_scheduler,params_step_size,params_warmup_epochs,params_weight_decay,state
0,0.7701650261878967,2026-05-07 15:56:23.898853,2026-05-07 16:34:54.090202,0 days 00:38:30.191349,minimal,64,,0.29097295564859826,,,135,features.5,False,0.5,0.0004059611610484307,0.4115716865497775,,adam,,,step,15.0,,0.00011207606211860574,COMPLETE
1,0.8609240651130676,2026-05-07 16:34:54.231965,2026-05-07 18:57:27.720563,0 days 02:22:33.488598,aggressive,64,,0.036611470453433645,,0.1,297,none,False,,0.0010568529720322872,0.0689266113392399,,adamw,2.0,,reduce_on_plateau,,,0.004201672054372531,COMPLETE
2,0.8177557587623596,2026-05-07 18:57:27.870884,2026-05-07 21:06:02.835933,0 days 02:08:34.965049,moderate,128,,0.2960660809801552,,0.1,156,none,False,,0.025924756604751596,0.29917712366085103,0.9385113619277876,sgd,3.0,,reduce_on_plateau,,,0.000348771262454593,COMPLETE
3,0.824554443359375,2026-05-07 21:06:03.391700,2026-05-07 22:17:13.994305,0 days 01:11:10.602605,randaugment,32,,0.032367428097991334,1.8484491720988594e-06,,137,features.6,False,,0.006533305220227739,0.005905946429591528,,adam,,,warmup_cosine,,5.0,3.151987295193886e-05,COMPLETE
4,,2026-05-07 22:17:14.119655,2026-05-07 23:02:41.847162,0 days 00:45:27.727507,randaugment,32,,0.24540442977674792,3.1883397351001856e-07,,292,features.5,False,,0.0001390546848963277,0.47811998212329687,,adamw,,,warmup_cosine,,5.0,0.0017367237151593164,FAIL
5,0.7710891366004944,2026-05-07 23:03:17.005751,2026-05-07 23:35:03.832997,0 days 00:31:46.827246,minimal,64,,0.29097295564859826,,,135,features.5,False,0.5,0.0004059611610484307,0.4115716865497775,,adam,,,step,15.0,,0.00011207606211860574,COMPLETE
6,0.8478547930717468,2026-05-07 23:35:03.992475,2026-05-08 01:59:13.478820,0 days 02:24:09.486345,aggressive,64,,0.036611470453433645,,0.1,297,none,False,,0.0010568529720322872,0.0689266113392399,,adamw,2.0,,reduce_on_plateau,,,0.004201672054372531,COMPLETE
7,0.7608580589294434,2026-05-08 01:59:13.606263,2026-05-08 02:25:41.729307,0 days 00:26:28.123044,moderate,128,,0.2960660809801552,,0.1,156,none,False,,0.025924756604751596,0.29917712366085103,0.9385113619277876,sgd,3.0,,reduce_on_plateau,,,0.000348771262454593,PRUNED
8,0.7195379734039307,2026-05-08 02:25:41.856048,2026-05-08 02:40:49.447886,0 days 00:15:07.591838,randaugment,32,,0.032367428097991334,1.8484491720988594e-06,,137,features.6,False,,0.006533305220227739,0.005905946429591528,,adam,,,warmup_cosine,,5.0,3.151987295193886e-05,PRUNED
9,0.8675907850265503,2026-05-08 02:40:49.588553,2026-05-08 04:10:58.033231,0 days 01:30:08.444678,randaugment,32,,0.24540442977674792,3.1883397351001856e-07,,292,features.5,False,,0.0001390546848963277,0.47811998212329687,,adamw,,,warmup_cosine,,5.0,0.0017367237151593164,COMPLETE
10,0.665478527545929,2026-05-08 04:10:58.169239,2026-05-08 04:38:50.323281,0 days 00:27:52.154042,moderate,32,25.0,0.1468358280832689,,,183,features.6,False,,0.00298727419956384,0.926789840692838,0.9383611062362534,sgd,,0.1,one_cycle,,,5.439591236568524e-05,PRUNED
11,0.7291089296340942,2026-05-08 04:38:50.446502,2026-05-08 04:57:45.199234,0 days 00:18:54.752732,randaugment,32,,0.20741632790413553,1.1401357990728682e-07,,486,features.5,False,,5.4221871396973596e-05,0.024579818846854087,,adamw,,,cosine,,,0.07832921114568382,PRUNED
12,0.713399350643158,2026-05-08 04:57:45.324018,2026-05-08 05:27:07.579404,0 days 00:29:22.255386,aggressive,64,,0.11683795120128827,1.8939596809590337e-07,,309,features.5,False,,0.00011548292569797719,0.05916752571878046,,adamw,,,warmup_cosine,,3.0,0.005959206131645764,PRUNED
13,0.7501650452613831,2026-05-08 05:27:07.702556,2026-05-08 05:58:41.140833,0 days 00:31:33.438277,aggressive,32,10.0,0.21359334066402358,,,238,none,False,,0.00015509498193285592,0.13939247818091421,,adamw,,0.2,one_cycle,,,0.003019978043692996,PRUNED
14,0.8555115461349487,2026-05-08 05:58:41.264032,2026-05-08 07:19:33.560073,0 days 01:20:52.296041,randaugment,64,,0.08029224317626871,4.280411643333819e-07,,393,none,False,,0.0008395434836173338,0.026619817550438834,,adamw,,,cosine,,,0.013113848502320584,COMPLETE
15,0.7754455208778381,2026-05-08 07:19:33.702270,2026-05-08 07:48:09.546006,0 days 00:28:35.843736,aggressive,128,,0.21880458059920274,,0.2,377,features.5,False,,0.0001918511207539673,0.13701004515145632,,adamw,2.0,,reduce_on_plateau,,,0.011496806680226864,PRUNED
