number,value,datetime_start,datetime_complete,duration,params_augmentation_level,params_batch_size,params_div_factor,params_dropout_rate,params_eta_min,params_factor,params_fc_hidden_size,params_fine_tune_from_layer,params_freeze_backbone,params_gamma,params_lr,params_lr_multiplier_backbone,params_momentum,params_optimizer,params_patience,params_pct_start,params_scheduler,params_step_size,params_weight_decay,state
0,,2026-04-23 09:05:50.516764,2026-04-23 09:36:36.242100,0 days 00:30:45.725336,minimal,64,50.0,0.2497327922401265,,,501,encoder.layers.10,False,,0.007309539835912915,0.01,0.855333536637628,sgd,,0.1,one_cycle,,0.00016738085788752134,FAIL
1,0.6839603781700134,2026-04-23 09:37:08.997370,2026-04-23 10:28:49.359135,0 days 00:51:40.361765,minimal,64,50.0,0.2497327922401265,,,501,encoder.layers.10,False,,0.007309539835912915,0.01,0.855333536637628,sgd,,0.1,one_cycle,,0.00016738085788752134,COMPLETE
2,0.7570956945419312,2026-04-23 10:28:49.603791,2026-04-23 11:53:24.579069,0 days 01:24:34.975278,minimal,128,,0.2727961206236346,1.5030900645056797e-07,,141,none,False,,0.0023426581058204046,0.1,0.9842210792752661,sgd,,,cosine,,0.0003550304858128307,COMPLETE
3,0.6716831922531128,2026-04-23 11:53:24.728787,2026-04-23 13:54:13.667365,0 days 02:00:48.938578,aggressive,128,50.0,0.2960660809801552,,,156,none,True,,0.0028708753481954683,0.01,,adam,,0.1,one_cycle,,0.000348771262454593,COMPLETE
4,0.6426402926445007,2026-04-23 13:54:13.822529,2026-04-23 15:57:55.743875,0 days 02:03:41.921346,aggressive,64,,0.032367428097991334,,0.1,137,encoder.layers.10,False,,0.00315198729519389,0.1,0.8779727553767697,sgd,2.0,,reduce_on_plateau,,0.0003244160088734161,COMPLETE
5,0.7192079424858093,2026-04-23 15:57:55.886488,2026-04-23 17:04:26.844959,0 days 01:06:30.958471,minimal,32,,0.1252233009446337,,,324,encoder.layers.10,False,0.2,0.0010903884523201113,1.0,,adam,,,step,5.0,0.0002547052623339115,COMPLETE
6,,2026-04-23 17:04:27.066657,2026-04-24 07:04:18.988821,0 days 13:59:51.922164,aggressive,128,,0.11033493981577597,,,408,encoder.layers.10,True,0.5,0.004380867619725789,0.1,0.8354385169759724,sgd,,,step,10.0,1.2065637774378933e-05,FAIL
7,0.5527392625808716,2026-04-24 07:04:19.109513,2026-04-24 07:26:13.606075,0 days 00:21:54.496562,minimal,64,50.0,0.2497327922401265,,,501,encoder.layers.10,False,,0.007309539835912915,0.01,0.855333536637628,sgd,,0.1,one_cycle,,0.00016738085788752134,PRUNED
8,0.7581518292427063,2026-04-24 07:26:18.501513,2026-04-24 08:50:42.448517,0 days 01:24:23.947004,minimal,128,,0.2727961206236346,1.5030900645056797e-07,,141,none,False,,0.0023426581058204046,0.1,0.9842210792752661,sgd,,,cosine,,0.0003550304858128307,COMPLETE
9,0.5879868268966675,2026-04-24 08:50:42.545630,2026-04-24 09:09:50.980773,0 days 00:19:08.435143,aggressive,128,50.0,0.2960660809801552,,,156,none,True,,0.0028708753481954683,0.01,,adam,,0.1,one_cycle,,0.000348771262454593,PRUNED
10,0.4712871313095093,2026-04-24 09:09:51.090775,2026-04-24 09:29:14.731446,0 days 00:19:23.640671,aggressive,64,,0.032367428097991334,,0.1,137,encoder.layers.10,False,,0.00315198729519389,0.1,0.8779727553767697,sgd,2.0,,reduce_on_plateau,,0.0003244160088734161,PRUNED
11,0.7205280661582947,2026-04-24 09:29:14.860686,2026-04-24 10:35:42.182611,0 days 01:06:27.321925,minimal,32,,0.1252233009446337,,,324,encoder.layers.10,False,0.2,0.0010903884523201113,1.0,,adam,,,step,5.0,0.0002547052623339115,COMPLETE
12,0.22495049238204956,2026-04-24 10:35:42.277892,2026-04-24 10:53:26.242738,0 days 00:17:43.964846,moderate,128,,0.20146094238412354,1.5871624508724036e-07,,246,encoder.layers.8,True,,0.07832921114568382,0.1,0.988548906437464,sgd,,,cosine,,3.643526297879779e-05,PRUNED
13,0.7412541508674622,2026-04-24 10:53:26.338479,2026-04-24 11:40:56.538888,0 days 00:47:30.200409,minimal,128,,0.19199587918039696,1.4190876673069716e-07,,236,none,False,,0.023937191942813775,0.1,0.9836668149431332,sgd,,,cosine,,0.0006661228945237207,COMPLETE
14,0.7679867744445801,2026-04-24 11:40:56.649122,2026-04-24 13:32:59.480970,0 days 01:52:02.831848,moderate,128,,0.23599004106046723,2.209989636804396e-06,,224,none,False,,0.02379353796059848,0.1,0.9315334218498578,sgd,,,cosine,,0.0009208657933481195,COMPLETE
15,0.7703630328178406,2026-04-24 13:32:59.591901,2026-04-24 15:25:50.573829,0 days 01:52:50.981928,moderate,128,,0.19634098359066088,3.4937685970608795e-06,,241,none,False,,0.021389810961820355,0.1,0.9273555677807889,sgd,,,cosine,,0.0008805330366081593,COMPLETE
16,0.6439604163169861,2026-04-24 15:25:50.740097,2026-04-24 15:43:35.667609,0 days 00:17:44.927512,moderate,128,,0.18779937744794045,4.756404266792395e-06,,247,encoder.layers.8,True,,0.027790154491502884,0.1,0.9247824750409989,sgd,,,cosine,,0.0007743854740282502,PRUNED
